"region","sci_name","comm_name","comm_name_foreign","k","linf_cm","winf_g","m","tmax_yr","tmat_yr","lmat_cm","recruit_sd_cond","recruit_sd_marg","recruit_sd_auto","masps","h","r","g_yr","fmsy","fmsy_div_m","temp_c"
"Cuba","Acanthurus coeruleus","Blue tang","Barbero",0.450911270916033,27.750384148084,649.651542115993,0.680241326481769,23.1022897286014,2.81427952741869,17.6407293857815,0.820531024689023,1.10848971518759,0.397869993055834,1.52270876756584,0.67316870648737,0.601382646137101,4.45314069746745,1.294297276417,1.89847781488489,27.5374397154846
"Cuba","Albula vulpes","Bonefish","Macabi",0.2761670267088,85.6267274978256,7194.90582718019,0.521280415968821,10.10840747576,2.94098375911765,42.7934103187484,0.0767506197208233,0.392966975099415,0.616348187485525,1.54698640214622,0.710278733110701,0.585481115571423,6.22431077282489,1.2254711686594,2.38505999087014,23.7451481425231
"Cuba","Archosargus rhomboidalis","Sea bream","Chopa amarilla",0.72032376781955,25.1323326383345,244.788546925316,1.6724768337067,3.30818165550848,0.853795553438729,12.4923089565273,0.20443231785032,0.538491234120421,0.450703936953198,4.45844472888856,0.923743294390291,2.01967913595727,1.79834856817358,15.4287393209374,9.24711792404917,26.7744658773794
"Cuba","Balistes vetula","Queen triggerfish","Cochino",0.288005465881176,52.8656663496997,2687.7775365046,1.38043560377704,5.12059218357448,1.89856400117071,22.3011522262064,0.0321094695566459,0.382933293780439,0.846176229879988,5.14132412885006,0.94867598313521,1.86820792845719,2.90742149932965,18.572373452948,13.5050739880926,27.3986254832703
"Cuba","Calamus bajonado","Jolthead porgy","Bajonao",0.201884053797086,45.1816853640956,1501.48946346169,0.360671595360229,14.2017377727345,3.43215918957795,21.9963908839027,0.0788296611725408,0.47552401234895,0.726953252516274,2.54424433236905,0.863961073873025,0.615597326530068,8.85524772678762,1.87652309814014,5.38621685004982,22.4423603715073
"Cuba","Caranx hippos","Crevalle jack","Jiguagua",0.395295594692703,47.7559047514141,1552.85331830408,1.0461248051256,6.63360187396103,1.49365429623521,22.6541419885006,0.134726291450467,0.461142072693115,0.529423336793645,2.84848508159807,0.826507728230282,1.04713488960696,3.15250279234806,4.3615614073314,4.17334506098261,26.6732728888278
"Cuba","Caranx latus","Horse-eyed jack","Gallego",0.268362747443562,68.9778285391463,4729.74982130125,0.717316496057235,9.33903147199834,2.15152520488839,31.5889286747042,0.0917174177809592,0.422896505631429,0.613613949389982,2.37822827520844,0.793719458384786,0.764717366659336,4.91357595531353,2.5144438232782,3.5806664413346,25.4606220412919
"Cuba","Caranx ruber","Bar jack","Cibí",0.294343661096773,60.2095309211297,3106.00632134548,0.885806329093786,7.8051893005757,1.86618615170854,26.9935309602982,0.0813644020416564,0.402442680676672,0.629874687590568,2.81727033951971,0.827095835510522,0.932498614663928,3.79947186289858,3.80622441032363,4.30027633962236,26.5564767477285
"Cuba","Centropomus undecimalis","Common snook","Robalo",0.355267110148903,61.6386859510701,3006.05700711642,0.642709640331923,8.0257768615186,2.0068286140531,30.7713492423042,0.129721727433841,0.456858384989666,0.526407087560056,2.09771277675943,0.759399108084125,0.709701490047027,4.48862779273066,1.98423436936615,3.08776451574407,24.3245446830159
"Cuba","Diapterus rhombeus","Mojarra","Patao",1.07216473045787,20.190258471109,100.729824636934,1.91659808416625,3.31480343850133,0.69482797852617,11.2080009599043,0.479150372753203,0.737882914026664,0.249338942958309,3.25375831852903,0.811571540057929,1.56509804539875,1.62070383646181,7.91514701932554,4.27354191662443,26.459464825275
"Cuba","Epinephelus guttatus","Red hind","Cabrilla",0.197842875123843,55.4312090811507,2162.97503474386,0.366863844542086,14.9601919762604,5.22521701767874,29.357279321381,0.0400390079797815,0.398330934972698,0.826175405330795,1.74919304181875,0.780025364979252,0.400428556622409,8.54393887391998,1.17666205253998,3.17147681885488,25.344183392409
"Cuba","Epinephelus striatus","Nassau grouper","Cherna criolla",0.141824168715559,96.4101085582793,12751.5854388178,0.264586720707992,19.1025757355132,6.91978468399802,46.8008485271433,0.0226329940528873,0.370569228272856,0.942954451387635,1.55135774431143,0.787648508108639,0.317304866625433,11.8498240890173,0.886745362175681,3.36432609091611,27.0264585195111
"Cuba","Gerres cinereus","Yellowfin mojarra","Mojarra rayada",0.577891674702689,33.3707994758929,495.788600178163,1.08143401123386,5.67568915250154,1.17317518220252,16.4754834318163,0.198501244249788,0.511090333899311,0.447389207266654,2.85914432394115,0.810682273785589,1.17256823636879,2.71622461259346,4.33355988296902,4.02829223551469,27.0835433042265
"Cuba","Haemulon sciurus","Blue-striped grunt","Ronco amarillo",0.258706990524971,40.8114643882726,1026.98520745218,0.805128075305513,12.0717578255601,2.78984861255195,20.1780172562153,0.0788897637776645,0.461922574246115,0.700119414147677,2.42290658850931,0.776667250914002,0.732488438840469,4.51301613198851,2.6618764040506,3.32379844970777,27.2279985762251
"Cuba","Harengula clupeola","False herring","Sardina escamuda",0.707182853367002,23.2231475645429,124.813585609341,1.12361694381325,4.15115762780474,1.58993684950605,14.0944501539232,0.135772689341562,0.458776976328113,0.503313832886556,3.13631179585154,0.847823135587453,1.25007475328002,2.88478687623857,5.40936526776694,4.76987929910734,25.3575253625115
"Cuba","Harengula humeralis","Redear herring","Sardina de ley",0.673229327101383,25.611644609103,173.107546185938,1.08762678493876,4.33687507553906,1.67199557302162,15.2199032416878,0.115698669870193,0.422980734299897,0.536942638834273,3.11933944368748,0.850126023067719,1.21277307251096,2.85849119255081,5.30681752534372,4.88144693250575,26.553701250464
