"sci_name","comm_name","k","linf_cm","winf_g","m","tmax_yr","tmat_yr","lmat_cm","recruit_sd_cond","recruit_sd_marg","recruit_sd_auto","masps","h","r","g_yr","fmsy","fmsy_div_m","temp_c"
"Acanthocybium solandri","Wahoo",0.296560149744118,117.345156426699,18933.7544316336,0.631367945932498,8.00952139554984,2.39684386344113,56.7829563670243,0.0826048263595315,0.373510768856601,0.5689036438018,1.59037150036858,0.694450308908325,0.506271140562837,4.93987051300793,1.29744997184321,2.10015976289318,25.3127142228159
"Caranx hippos","Crevalle",0.395295594692703,47.7559047514141,1552.85331830408,1.0461248051256,6.63360187396103,1.49365429623521,22.6541419885006,0.134726291450467,0.461142072693115,0.529423336793645,2.84848508159807,0.826507728230282,1.04713488960696,3.15250279234806,4.3615614073314,4.17334506098261,26.6732728888278
"Centropomus undecimalis","Snook",0.355267110148903,61.6386859510701,3006.05700711642,0.642709640331923,8.0257768615186,2.0068286140531,30.7713492423042,0.129721727433841,0.456858384989666,0.526407087560056,2.09771277675943,0.759399108084125,0.709701490047027,4.48862779273066,1.98423436936615,3.08776451574407,24.3245446830159
"Coryphaena hippurus","Dolphinfish",1.2041760367285,116.798434965619,25761.6712217313,1.33444712644635,3.94126200468935,0.787222604573147,70.5160672131733,1.5472201450472,1.30604752683997,-0.0287474904111157,1.356912167858,0.604127741142898,0.863179019678971,1.79756939992684,1.76307012418359,1.31744188258131,24.9815172777051
"Diapterus auratus","Mojarra (Pompano)",1.04895509358324,18.6051870713551,77.8731175641732,1.86018549087227,3.36545634542116,0.703391842548565,10.4803100528035,0.523456876234539,0.76766515144003,0.237312993355544,3.29208816975907,0.823960790635318,1.61726634577076,1.80129150454309,8.34620137450276,4.61898875601588,25.0165001455773
"Epinephelus guttatus","Red hind",0.197842875123843,55.4312090811507,2162.97503474386,0.366863844542086,14.9601919762604,5.22521701767874,29.357279321381,0.0400390079797815,0.398330934972698,0.826175405330795,1.74919304181875,0.780025364979252,0.400428556622409,8.54393887391998,1.17666205253998,3.17147681885488,25.344183392409
"Epinephelus itajara","Goliath grouper",0.09438144474457,169.050418473221,69035.5195155752,0.152528568633431,33.6958360206378,11.508681358826,84.1765682285842,0.0226708145705036,0.37098530978083,0.953459352929321,0.238553507079057,0.679633398979549,0.152901549635324,19.9281414771614,0.304957899627772,1.98166262646382,24.4955799145753
"Epinephelus striatus","Nassau grouper",0.141824168715559,96.4101085582793,12751.5854388178,0.264586720707992,19.1025757355132,6.91978468399802,46.8008485271433,0.0226329940528873,0.370569228272856,0.942954451387635,1.55135774431143,0.787648508108639,0.317304866625433,11.8498240890173,0.886745362175681,3.36432609091611,27.0264585195111
"Etelis oculatus","Queen snapper",0.213722540587854,102.12924152288,15656.2233996107,0.204709025134404,20.6078781481277,3.83379806143085,55.4613466555293,0.239295220318488,0.574551184318593,0.461098932062577,-0.0100543941429935,0.609053140088903,0.224378990062978,11.5742510059985,0.273466028246584,1.358644216604,20.8224027725339
"Gerres cinereus","Mojarra (yellowfin)",0.577891674702689,33.3707994758929,495.788600178163,1.08143401123386,5.67568915250154,1.17317518220252,16.4754834318163,0.198501244249788,0.511090333899311,0.447389207266654,2.85914432394115,0.810682273785589,1.17256823636879,2.71622461259346,4.33355988296902,4.02829223551469,27.0835433042265
"Haemulon album","Margate",0.188780388612574,64.9430387312466,4556.76022956046,0.610916732332589,15.9641882823922,3.7479544351425,30.6994142701156,0.0567386565555378,0.442387999133678,0.77522385921075,2.10781908850975,0.760701156738139,0.572614231537615,6.04228524485394,1.88346373804342,3.0963614053706,27.2246997495553
"Haemulon parra","Sailor's choice",0.238241117584331,43.3467694463808,1231.89980491291,0.724176634386986,13.2182746544226,3.04223693671996,21.4137813121495,0.0757809382223382,0.453284819227712,0.711986074004431,2.28045559876197,0.769931801125573,0.689627200622689,5.15831804708287,2.37310660898158,3.27530326803636,26.7224591601569
"Haemulon plumierii","White grunt",0.268490856760284,40.3641846647682,1032.69359076491,0.812774540090327,13.4176821708121,2.94939013628351,20.8903396034603,0.101433020205107,0.492930259826577,0.663494158175757,2.12469888892019,0.742252810143571,0.658933542254971,4.46630559983152,2.23516301160033,2.77294868090635,27.1794666341526
"Haemulon sciurus","Bluestriped grunt",0.258706990524971,40.8114643882726,1026.98520745218,0.805128075305513,12.0717578255601,2.78984861255195,20.1780172562153,0.0788897637776645,0.461922574246115,0.700119414147677,2.42290658850931,0.776667250914002,0.732488438840469,4.51301613198851,2.6618764040506,3.32379844970777,27.2279985762251
"Hyporthodus mystacinus","Misty grouper",0.119226863946196,105.760378380966,18866.4255447108,0.219115439847418,26.0548718444309,8.71860739659104,54.8629180729747,0.0358781983823145,0.434727945882517,0.889823496257435,1.18676615278917,0.765950402710273,0.271999499848642,15.76475312526,0.663083315134518,3.08231130844398,22.6771211427194
"Ictalurus furcatus","Black-eyed catfish (baca)",0.12012293917921,70.2415942789234,2559.85372423739,0.272789816671399,14.0511891047629,4.3396470831681,31.1541880293192,0.0318665946248231,0.333275780893789,0.769150537454699,1.61675544394336,0.779326430101337,0.43739093422878,12.9500007394252,0.935408225601272,3.49549560514573,12.0640660329714
"Kajikia albida","Marlin white",0.41625304743458,197.801633380373,76067.8890470057,0.623577063083737,8.99823786826665,2.06278827954216,106.986495717231,0.286194963531207,0.565648887923574,0.262919590143974,-0.376527356636544,0.457748955679465,0.288900859228458,4.66233753948713,0.333015762564121,0.531002680099715,22.6795988481942
